visa_applepay,,visa_applepay,5,VC/MC Premium Credit,visacommercialcredit,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
visa_googlepay,,visa_googlepay,5,VC/MC Premium Credit,visacommercialdebit,Visa/MasterCard Domestic Premium and Commercial Card Debit Card,Visa/MasterCard International Card Debit
visabusiness,,visabusiness,5,VC/MC Premium Credit,visacommercialpremiumcredit,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
visacommercialcredit,,visacommercialcredit,5,VC/MC Premium Credit,visacommercialpremiumdebit,Visa/MasterCard Domestic Premium and Commercial Card Debit Card,Visa/MasterCard International Card Debit
visacommercialdebit,,visacommercialdebit,6,VC/MC Premium Debit,visacommercialsuperpremiumcredit,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
visacommercialpremiumcredit,,visacommercialpremiumcredit,5,VC/MC Premium Credit,visacommercialsuperpremiumdebit,Visa/MasterCard Domestic Premium and Commercial Card Debit Card,Visa/MasterCard International Card Debit
visacommercialpremiumdebit,,visacommercialpremiumdebit,6,VC/MC Premium Debit,visacorporatecredit,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
visacommercialsuperpremiumcredit,,visacommercialsuperpremiumcredit,5,VC/MC Premium Credit,visacorporatedebit,Visa/MasterCard Domestic Premium and Commercial Card Debit Card,Visa/MasterCard International Card Debit
visacommercialsuperpremiumdebit,,visacommercialsuperpremiumdebit,6,VC/MC Premium Debit,visadankort,Visa/MasterCard International Card Debit,Visa/MasterCard International Card Credit
visacorporatecredit,,visacorporatecredit,5,VC/MC Premium Credit,,,
visacorporatedebit,,visacorporatedebit,6,VC/MC Premium Debit,visadebit,Visa/MasterCard Domestic Consumer Debit Card,Visa/MasterCard International Card Debit
visadankort,,visadankort,8,VC/MC Int.Debit,visafleetcredit,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
visadebit,,,8,VC/MC Int.Debit,visapremiumcredit,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
visadebit_applepay,,,,,visapremiumdebit,Visa/MasterCard Domestic Premium and Commercial Card Debit Card,Visa/MasterCard International Card Debit
visafleetcredit,,visafleetcredit,5,VC/MC Premium Credit,visaprepaidanonymous,Visa/MasterCard Domestic Consumer Debit Card,Visa/MasterCard International Card Debit
visapremiumcredit,,visapremiumcredit,5,VC/MC Premium Credit,visapurchasingcredit,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
visapremiumdebit,,visapremiumdebit,6,VC/MC Premium Debit,visapurchasingdebit,Visa/MasterCard Domestic Premium and Commercial Card Debit Card,Visa/MasterCard International Card Debit
visaprepaidanonymous,,visaprepaidanonymous,4,VC/MC Domestic Debit,visastandardcredit,Visa/MasterCard Domestic Consumer Credit Card,Visa/MasterCard International Card Credit
visapurchasingcredit,,visapurchasingcredit,5,VC/MC Premium Credit,visastandarddebit,Visa/MasterCard Domestic Consumer Debit Card,Visa/MasterCard International Card Debit
visapurchasingdebit,,,8,VC/MC Int.Debit,visasuperpremiumcredit,Visa/MasterCard Domestic Premium and Commercial Card Credit Card,Visa/MasterCard International Card Credit
visastandardcredit,,visastandardcredit,3,VC/MC Domestic Credit,visasuperpremiumdebit,Visa/MasterCard Domestic Premium and Commercial Card Debit Card,Visa/MasterCard International Card Debit
visastandarddebit,,visastandarddebit,4,VC/MC Domestic Debit,vpay,Visa/MasterCard International Card Debit,Visa/MasterCard International Card Debit
visasuperpremiumcredit,,visasuperpremiumcredit,5,VC/MC Premium Credit,,,
visasuperpremiumdebit,,visasuperpremiumdebit,6,VC/MC Premium Debit,,,
vpay,,vpay,8,VC/MC Int.Debit,,,
wechatpay,,,,,,,
wechatpay_pos,,,,,,,
,,,,,,,
